Bassikounou,15.78333,-5.9
Baszkówka,52.03333,20.93583
Bath,45.41667,-98.31667
Bath Furnace,38.25,-83.75
Battle Mountain,40.66813,-117.18913
Bawku,11.08333,-0.18333
Baxter,36.75,-93.5
Beardsley,39.8,-101.2
Beaver Creek,51.16667,-117.33333
Beddgelert,53.01667,-4.1
Bells,33.6,-96.46667
Belville,-32.33333,-64.86667
Benares (a),25.36667,82.91667
Benguerir,32.25,-8.15
Beni M'hira,32.86667,10.8
Benld,39.08333,-89.15
Benoni,-26.16667,28.41667
Bensour,30,-7
Benton,45.95,-67.55
Berduc,-31.91,-58.32833
Béréba,11.65,-3.65
Berlanguillas,41.68333,-3.8
Berthoud,40.30583,-105.02325
Bethlehem,42.53333,-73.83333
Beuste,43.21667,-0.23333
Beyrout,33.88333,35.5
Bhagur,20.88333,74.83333
Bhawad,26.50833,73.11528
Bherai,20.83333,71.46667
Bhola,22.68333,90.65
Bholghati,22.08333,86.9
Bialystok,53.1,23.2
Bielokrynitschie,50.13333,27.16667
Bilanga,12.45,-0.08333
Binningup,-33.15639,115.67639
Birni N'konni,13.76667,5.3
Bishopville,34.16667,-80.28333
Bishunpur,25.38333,82.6
Bjelaja Zerkov,49.78333,30.16667
Bjurböle,60.4,25.8
Black Moshannan Park,40.91667,-78.08333
Blackwell,36.83333,-97.33333
Blanket,31.83333,-98.83333
Blansko,49.36667,16.63333
Bloomington,40.48,-89.00417
Bo Xian,33.83333,115.83333
Bocas,23,-102
Bogou,12.5,0.7
Boguslavka,44.55,131.63333
Borgo San Donino,44.86667,10.05
Bori,21.95,78.03333
Boriskino,54.23333,52.48333
Borkut,48.15,24.28333
Borodino,55.46667,35.86667
Botschetschki,51.33333,33.88333
Boumdeid (2003),17.71067,-11.3715
Boumdeid (2011),17.17493,-11.34133
Bovedy,54.56667,-6.33333
Bradford Woods,40.5,-80.08333
Braunau,50.6,16.3
Breitscheid,50.66694,8.18361
Bremervörde,53.4,9.1
Brient,52.13333,59.31667
Bruderheim,53.9,-112.88333
Bukhara,39.77978,64.60035
Bulls Run,,
Bunburra Rockhole,-31.35,129.19
Bununu,10.01667,9.58333
Bur-Gheluai,5,48
Burnwell,37.62194,-82.23722
Bursa,40.2,29.23333
Buschhof,46.45,25.78333
Bustee,26.78333,82.83333
Butsura,27.08333,84.08333
Buzzard Coulee,52.996,-109.84817
Cabezo de Mayo,37.98333,-1.16667
Cabin Creek,35.5,-93.5
Cacak,43.83889,20.33333
Cali,3.405,-76.51
Calivo,11.75,122.33333
Campos Sales,-7.03333,-40.16667
Çanakkale,39.8,26.6
Cañellas,41.25,1.66667
Cangas de Onis,43.38333,-5.15
Canon City,38.47028,-105.24139
Cape Girardeau,37.26667,-89.58333
Capilla del Monte,-30.88333,-64.55
Carancas,-16.66444,-69.04389
Caratash,38.5,27
Castalia,36.08333,-78.06667
Castel Berardenga,43.35,11.5
Castine,44.38333,-68.75
Castrovillari,39.8,16.2
Caswell County,36.5,-79.25
Ceniceros,26.46667,-105.23333
Centerville,43.2,-96.91667
Cereseto,45.08333,8.3
Chadong,28.53333,109.31667
Chail,25.36667,81.66667
Chainpur,25.85,83.48333
Chajari,-30.78333,-58.05
Chandakapur,20.26667,76.01667
Chandpur,27.28333,79.05
Changde,29.08333,111.75
Chantonnay,46.68333,1.05
Charlotte,36.16667,-87.33333
Charsonville,47.93333,1.56667
Charwallas,29.48333,75.5
Chassigny,47.71667,5.36667
Château-Renard,47.93333,2.91667
Chaves,41.93333,-7.46667
Chela,-3.66667,32.5
Chelyabinsk,54.81667,61.11667
Chergach,23.69639,-5.01472
